"cod","ano","mes","dia","at","pl","ll","ebit","deb_cp","deb_lp","rec","vm","pais","setor","pat","debt","dif_ano","l_vm","l_at","ebit_at","pl_at","log_vm","log_at","var_rec","risk","effi","crise","ifrs","ebit_ifrs","pl_ifrs","div_at","cap"
"AGRO.BA",2004,12,31,19391377.5682048,14168743.6847423,3809026.60828562,6938699.89895588,0,0,31299427.4166386,12790501.8524755,"Argentina","Industrials",5222633.8834625,0,1,27849075.9753593,22363107.4606434,0.310274406683741,0.633576693653944,16.3642134106645,16.7803390699869,-0.194252788340532,0.619452081948908,1.61408993799177,0,0,0,0,0,0.571946536275666
"AGRO.BA",2005,12,31,21961716.1716172,15797029.7029703,4340594.05940594,9225742.57425743,479207.920792079,0,33313531.3531353,17848577.9407392,"Argentina","Industrials",6164686.4686469,479207.920792079,1,12790501.8524755,19391377.5682048,0.475765197279459,0.814641953487204,16.6974343958308,16.9048113214436,-0.0350375946646228,0.0457333256260782,1.51689107958644,0,0,0,0,0.0218201490742967,0.92043888465174
"AGRO.BA",2007,12,31,25815814.5442998,18412829.4696729,3606541.75928866,7534772.94379168,496030.48586853,846935.535090505,40205462.0514449,34296602.0959034,"Argentina","Industrials",7402985.0746269,1342966.02095904,1,34304778.7263271,25261832.3357211,0.298267079111963,0.728879410842915,17.3505568429696,17.0664978289377,-0.215758569611217,1.40339373378802,1.5573966098359,0,0,0,0,0.0520210593647747,1.35764506865984
"AGRO.BA",2008,12,31,44577552.4981897,15301955.1049964,833019.551049964,2587979.72483707,4041129.61622013,8884576.39391745,38052136.1332368,20854453.2947139,"Argentina","Industrials",29275597.3931933,12925706.0101376,1,34296602.0959034,25815814.5442998,0.100247843057445,0.592735707747603,16.853078070679,17.6127409830732,-0.14052299637824,-1.41311849648305,0.853616540180893,1,0,0,0,0.289959975049381,0.807816978190937
"AGRO.BA",2009,12,31,40010618.7467088,11833596.6298052,-2060792.5223802,755126.382306477,3322398.63085835,9116974.7235387,31292817.2722485,24248786.2485238,"Argentina","Industrials",28177022.1169036,12439373.3543971,1,20854453.2947139,44577552.4981897,0.0169396106333371,0.265460887075076,17.0038771224879,17.5046554455154,0.685053543596807,0.229155665559187,0.782112805361766,1,0,0,0,0.310901799173508,0.543968542227807
"AGRO.BA",2010,12,31,43760113.3786848,9656102.29276896,-1652842.02569917,1171892.16427312,7152166.79264298,10081146.3844797,51053469.3877551,25975333.5011326,"Argentina","Industrials",34104011.0859158,17233313.1771227,1,24248786.2485238,40010618.7467088,0.0292895286546779,0.241338489511944,17.0726579341793,17.5942333069952,-0.303521318085821,-0.131453058843321,1.16666675303046,0,0,0,0,0.393813266158421,0.649210992351106
"AGRO.BA",2011,12,31,57673500.6973501,21480341.7015342,5803677.35936774,9884558.34495584,9922814.9697815,6003337.9823338,61487696.4202696,20307306.0740603,"Argentina","Industrials",36193158.9958159,15926152.9521153,1,25975333.5011326,43760113.3786848,0.225880546958787,0.490865768917251,16.8264912843878,17.8703083659749,-0.463580811814396,-0.0374844261051798,1.0661342848414,0,0,0,0,0.276143337226746,0.464059722568082
"AGRO.BA",2012,12,31,55185544.2522889,18188396.7446592,-742341.810783316,2567729.39979654,8707269.58290946,8225709.05391658,46582264.4964395,12122199.592668,"Argentina","Industrials",36997147.5076297,16932978.636826,1,20307306.0740603,57673500.6973501,0.0445218231726745,0.315368349844158,16.3105490066827,17.8262115974634,0.0223527394091911,-0.697237856596084,0.844102656367432,0,1,0.0445218231726745,0.315368349844158,0.306837213735076,0.210186644578434
"AGRO.BA",2013,12,31,37575973.6074881,18743670.400491,4576995.55009974,2928520.79177536,6972195.79561148,3587376.09329446,36087819.5488722,12593785.9608745,"Argentina","Industrials",18832303.2069971,10559571.8889059,1,12122199.592668,55185544.2522889,0.0530668100034892,0.3396481932805,16.3487140725612,17.4418754043119,0.11651836457531,0.396938394968809,0.960396127744795,0,1,0.0530668100034892,0.3396481932805,0.28101924914067,0.228208059402298
"AGRO.BA",2014,12,31,27977815.5078335,13720860.1672092,-184450.01288026,4421772.32383317,3717232.6175031,3212402.51984731,31412606.2621484,11128544.9989461,"Argentina","Industrials",14256955.3406243,6929635.13735041,1,12593785.9608745,37575973.6074881,0.117675522396897,0.365149824473874,16.2250239868486,17.1469224508097,-0.500300301117883,-0.0293248606932806,1.12276836815059,0,1,0.117675522396897,0.365149824473874,0.247683209413193,0.29616118840174
