"","cod","ano","at","pl","ll","ebit","deb_cp","deb_lp","rec","vm","setor","pat","debt","dif_ano","l_vm","l_at","ebit_at","pl_at","log_vm","log_at","var_rec","risk","effi","crise","ifrs","ebit_ifrs","pl_ifrs","div_at"
"1","AALR3.SA",2017,2284985000,1219460000,6652000,63520000,167044000,432208000,1077876000,1750733676.8,"Healthcare",1065525000,599252000,1,1683266936.55,2166312000,0.0293217228173966,0.562919837955013,21.2833007809094,21.5496252967196,-0.125628740133137,-0.182936127680625,0.471721258564061,0,1,0.0293217228173966,0.562919837955013,0.262256426190982
"2","AALR3.SA",2018,2209426000,1256946000,40087000,134263000,232561000,372950000,1076918000,1574477380.96,"Healthcare",952480000,605511000,1,1750733676.8,2284985000,0.0587588102328899,0.550089387895325,21.1771892325463,21.515998590234,-0.00288143741001874,0.273213739828433,0.48741980948898,0,1,0.0587588102328899,0.550089387895325,0.274058058518366
"3","AALR3.SA",2019,2401121000,1282190000,41300000,139412000,280507000,364991000,1072865000,2148197538.56,"Healthcare",1118931000,645498000,1,1574477380.96,2209426000,0.063098741483082,0.580327198104847,21.4878949733125,21.5992015485842,-0.140437867919183,0.0267190394019339,0.446818381914114,0,1,0.063098741483082,0.580327198104847,0.268831933084588
"4","AALR3.SA",2020,2540602000,1190537000,-97416000,-10580000,302614000,530857000,928787000,1313050257.6,"Healthcare",1350065000,833471000,1,2148197538.56,2401121000,-0.0044062752356087,0.495825491510007,20.9956187084576,21.6556668977689,0.346101045466187,-0.175359243289202,0.365577528475535,0,1,-0.0044062752356087,0.495825491510007,0.328060436069876
"5","AALR3.SA",2021,2542229000,1175292000,-5625000,85446000,396958000,411430000,1136572000,1770843455.52,"Healthcare",1366937000,808388000,1,1313050257.6,2540602000,0.0336321863873208,0.462603745096635,21.2947217985709,21.6563070922022,-0.248320992765196,0.18528807381104,0.447076954908468,0,1,0.0336321863873208,0.462603745096635,0.317983942437916
"6","AALR3.SA",2022,2615454000,949696000,-227810000,-38964000,458275000,610467000,1085009000,2555124825.6,"Healthcare",1665758000,1068742000,1,1770843455.52,2542229000,-0.0153267073894602,0.373568234804968,21.6613669148294,21.6847035331609,0.130001984870724,-0.147027482262276,0.414845376749123,0,1,-0.0153267073894602,0.373568234804968,0.408625806456546
"7","ABEV3.SA",2005,33401781000,19867339000,1748505000,2811031000,1209392000,5994152000,15958565000,25943566095.9999,"Consumer Non-Cyclicals",13534442000,7203544000,1,32227679160,33016564000,0.0851400224444918,0.601738539479759,23.9791894811739,24.2318750588607,-0.185842628957022,0.354122174599282,0.477775870693841,0,0,0,0,0.215663470160468
"8","ABEV3.SA",2006,35560860000,19268063000,3000681000,4307255000,2104644000,7461944000,17613657000,32547261198.9998,"Consumer Non-Cyclicals",16292797000,9566588000,1,25943566095.9999,33401781000,0.128952854340312,0.576857353803978,24.2059590607091,24.2945114317766,0.00713025500456001,-0.00270058856900723,0.49531020903319,0,0,0,0,0.269020153055916
"9","ABEV3.SA",2007,37680403000,18119987000,5092249000,6667710000,2270538000,7530339000,19579512000,43131840999.9998,"Consumer Non-Cyclicals",19560416000,9800877000,1,32547261198.9998,35560860000,0.18750137088923,0.509548616090837,24.4875273316013,24.3524059819265,-0.0495225988451811,-0.110558909714976,0.519620557136823,0,0,0,0,0.260105418723892
"10","ABEV3.SA",2008,41812972000,20787517000,5179845000,6698794000,3588204000,7042125000,20713181000,29295635784.1298,"Consumer Non-Cyclicals",21025455000,10630329000,1,43131840999.9998,37680403000,0.177779255704882,0.55167979493213,24.1007043925283,24.4564724632614,0.0568388856164027,-0.222956135454939,0.495376913174218,1,0,0,0,0.254235192848765
